"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Postcode/Meest voorkomende postcode (code)";"Postcode/Dekkingspercentage (code)"
"Aa en Hunze";"Aa en Hunze                             ";"Gemeente  ";"GM1680    ";".";"         .";
"Wijk 00 Annen";"Aa en Hunze                             ";"Wijk      ";"WK168000  ";"1";"         .";
"Annen";"Aa en Hunze                             ";"Buurt     ";"BU16800000";"1";"      9468";1
"Verspreide huizen Annen";"Aa en Hunze                             ";"Buurt     ";"BU16800009";"1";"      9468";1
"Wijk 01 Eext";"Aa en Hunze                             ";"Wijk      ";"WK168001  ";"1";"         .";
"Eext";"Aa en Hunze                             ";"Buurt     ";"BU16800100";"1";"      9463";1
"Verspreide huizen Eext";"Aa en Hunze                             ";"Buurt     ";"BU16800109";"1";"      9463";1
"Wijk 02 Anloo";"Aa en Hunze                             ";"Wijk      ";"WK168002  ";"1";"         .";
"Anloo";"Aa en Hunze                             ";"Buurt     ";"BU16800200";"1";"      9467";1
"Verspreide huizen Anloo";"Aa en Hunze                             ";"Buurt     ";"BU16800209";"1";"      9467";1
"Wijk 03 Gasteren";"Aa en Hunze                             ";"Wijk      ";"WK168003  ";"1";"         .";
"Gasteren";"Aa en Hunze                             ";"Buurt     ";"BU16800300";"1";"      9466";1
"Verspreide huizen Gasteren";"Aa en Hunze                             ";"Buurt     ";"BU16800309";"1";"      9466";1
"Wijk 04 Anderen";"Aa en Hunze                             ";"Wijk      ";"WK168004  ";"1";"         .";
"Anderen";"Aa en Hunze                             ";"Buurt     ";"BU16800400";"1";"      9465";1
"Verspreide huizen Anderen";"Aa en Hunze                             ";"Buurt     ";"BU16800409";"1";"      9465";1
"Wijk 05 Schipborg";"Aa en Hunze                             ";"Wijk      ";"WK168005  ";"1";"         .";
"Schipborg";"Aa en Hunze                             ";"Buurt     ";"BU16800500";"1";"      9469";1
"Verspreide huizen Schipborg";"Aa en Hunze                             ";"Buurt     ";"BU16800509";"1";"      9469";1
"Wijk 06 Eexterveen";"Aa en Hunze                             ";"Wijk      ";"WK168006  ";"1";"         .";
"Eexterveen";"Aa en Hunze                             ";"Buurt     ";"BU16800600";"1";"      9658";1
"Verspreide huizen Eexterveen";"Aa en Hunze                             ";"Buurt     ";"BU16800609";"1";"      9658";1
"Wijk 07 Spijkerboor";"Aa en Hunze                             ";"Wijk      ";"WK168007  ";"1";"         .";
"Spijkerboor";"Aa en Hunze                             ";"Buurt     ";"BU16800700";"1";"      9656";1
"Verspreide huizen Spijkerboor";"Aa en Hunze                             ";"Buurt     ";"BU16800709";"1";"         .";
"Wijk 08 Nieuw-Annerveen";"Aa en Hunze                             ";"Wijk      ";"WK168008  ";"1";"         .";
"Nieuw-Annerveen";"Aa en Hunze                             ";"Buurt     ";"BU16800800";"1";"      9657";1
"Verspreide huizen Nieuw-Annerveen";"Aa en Hunze                             ";"Buurt     ";"BU16800809";"1";"      9657";5
"Wijk 09 Oud-Annerveen";"Aa en Hunze                             ";"Wijk      ";"WK168009  ";"1";"         .";
"Oud-Annerveen";"Aa en Hunze                             ";"Buurt     ";"BU16800900";"1";"      9655";1
"Verspreide huizen Oud-Annerveen";"Aa en Hunze                             ";"Buurt     ";"BU16800909";"1";"      9655";1
"Wijk 11 Annerveenschekanaal";"Aa en Hunze                             ";"Wijk      ";"WK168011  ";"1";"         .";
"Annerveenschekanaal";"Aa en Hunze                             ";"Buurt     ";"BU16801100";"1";"      9654";1
"Verspreide huizen Annerveenschekanaal";"Aa en Hunze                             ";"Buurt     ";"BU16801109";"1";"      9655";1
"Wijk 12 Eexterveenschekanaal";"Aa en Hunze                             ";"Wijk      ";"WK168012  ";"1";"         .";
"Eexterveenschekanaal";"Aa en Hunze                             ";"Buurt     ";"BU16801200";"1";"      9659";3
"Verspreide huizen Eexterveenschekanaal";"Aa en Hunze                             ";"Buurt     ";"BU16801209";"1";"      9512";1
