latitude,longitude,Codering,Naam,Indicator,elektriciteitsverbruik_huishoudens,gasverbruik_huishoudens,energielabel_woningen,zonnestroom,laadpalen,emissie_CO2,regio,POSTCODE,Cluster,Lon,Lat
51.6077409799,5.14506146653,WK085567,Udenhout,Wijk,2450,1090,1.74243520192887,0.35295893719806765,1.7957351290684624,2366.4284301606922,Udenhout,5071,1,5.14327529019087,51.5926838584799
51.57686669,5.13887286,WK085566,Berkel-Enschot,Wijk,2490,1130,1.7002157031924101,0.2371042727473987,1.2997562956945572,4661.6063886424135,Berkel-Enschot,5056,1,5.14327529019087,51.5926838584799
51.5878583,5.1465219,BU08556601,Bedrijventerrein Schepersven,Buurt,"","","","",0,"",Bedrijventerrein Schepersven,5056,1,5.14327529019087,51.5926838584799
51.5878583,5.1465219,BU08556603,Buitengebied B-E Noord-West,Buurt,"","",2.2078571428571401,0.625,0,"",Buitengebied B-E Noord-West,5056,1,5.14327529019087,51.5926838584799
51.5878583,5.1465219,BU08556604,Buitengebied B-E Noord-Oost,Buurt,"",2380,2.0220588235294099,"",0,"",Buitengebied B-E Noord-Oost,5056,1,5.14327529019087,51.5926838584799
51.5878583,5.1465219,BU08556605,Bedrijventerrein Rhijnkant,Buurt,"","",2.15405405405405,"",0,"",Bedrijventerrein Rhijnkant,5056,1,5.14327529019087,51.5926838584799
51.5878583,5.1465219,BU08556606,Berkel Noord,Buurt,2390,930,1.5086740331491699,0.21804511278195488,0,"",Berkel Noord,5056,1,5.14327529019087,51.5926838584799
51.5878583,5.1465219,BU08556607,Berkelse Akkers,Buurt,2410,940,1.3401234567901199,0.13636363636363635,0,"",Berkelse Akkers,5056,1,5.14327529019087,51.5926838584799
51.5878583,5.1465219,BU08556608,Ruiven,Buurt,2400,1310,1.7200671140939601,0.26051560379918587,0,"",Ruiven,5056,1,5.14327529019087,51.5926838584799
51.5878583,5.1465219,BU08556609,Eikenbosch,Buurt,2520,1610,1.9320232896652101,0.17079889807162535,0,"",Eikenbosch,5056,1,5.14327529019087,51.5926838584799
51.5878583,5.1465219,BU08556610,Koningsoord,Buurt,"","",1.2175213675213701,"",0,"",Koningsoord,5056,1,5.14327529019087,51.5926838584799
51.5878583,5.1465219,BU08556611,Rauwbraken,Buurt,2600,1110,1.8877005347593601,0.27041742286751363,2.7397260273972601,"",Rauwbraken,5056,1,5.14327529019087,51.5926838584799
51.5878583,5.1465219,BU08556612,Enschot Oost,Buurt,2380,1500,1.8490585774058601,0.25624999999999998,3.0303030303030303,"",Enschot Oost,5056,1,5.14327529019087,51.5926838584799
51.5878583,5.1465219,BU08556613,Enschot Midden,Buurt,2440,1270,1.71266490765172,0.29295774647887324,3.7037037037037033,"",Enschot Midden,5056,1,5.14327529019087,51.5926838584799
51.5878583,5.1465219,BU08556614,Enschotse Akkers,Buurt,2490,920,0.99772727272727302,0.25362318840579712,0,"",Enschotse Akkers,5056,1,5.14327529019087,51.5926838584799
51.5878583,5.1465219,BU08556615,Bedrijventerrein Enschot,Buurt,"","",2.36,"",0,"",Bedrijventerrein Enschot,5056,1,5.14327529019087,51.5926838584799
51.5878583,5.1465219,BU08556617,Enschot Zuid,Buurt,"","",2.31222222222222,0.95,0,"",Enschot Zuid,5056,1,5.14327529019087,51.5926838584799
51.5878583,5.1465219,BU08556618,Buitengebied B-E Zuid-West,Buurt,"","",2.3222222222222202,"",0,"",Buitengebied B-E Zuid-West,5056,1,5.14327529019087,51.5926838584799
51.5878583,5.1465219,BU08556620,Buitengebied B-E Zuid,Buurt,"","",2.06153846153846,"",133.33333333333334,"",Buitengebied B-E Zuid,5056,1,5.14327529019087,51.5926838584799
51.6108261,5.1439299,BU08556701,Groenstraat,Buurt,"","",2.15660377358491,0.15853658536585366,17.391304347826086,"",Groenstraat,5071,1,5.14327529019087,51.5926838584799
51.6108261,5.1439299,BU08556702,Achthoeven,Buurt,2820,1110,1.89462989840348,0.33430232558139533,1.1111111111111112,"",Achthoeven,5071,1,5.14327529019087,51.5926838584799
51.6108261,5.1439299,BU08556703,Den Bogerd,Buurt,"","",1.08717948717949,"",0,"",Den Bogerd,5071,1,5.14327529019087,51.5926838584799
51.6108261,5.1439299,BU08556704,De Mortel,Buurt,2210,880,1.3273413897280999,0.40625,4.5977011494252871,"",De Mortel,5071,1,5.14327529019087,51.5926838584799
51.6108261,5.1439299,BU08556705,De Kuil,Buurt,2260,990,1.5079161028416801,0.26946847960444992,3.6363636363636367,"",De Kuil,5071,1,5.14327529019087,51.5926838584799
51.6108261,5.1439299,BU08556706,Zeshoeven,Buurt,2470,1160,1.86614906832298,0.34461805555555558,0,"",Zeshoeven,5071,1,5.14327529019087,51.5926838584799
51.6108261,5.1439299,BU08556707,Bedrijventerrein Kreitenmolen,Buurt,3240,1980,1.98806818181818,0.30864197530864196,0,"",Bedrijventerrein Kreitenmolen,5071,1,5.14327529019087,51.5926838584799
51.6108261,5.1439299,BU08556708,Buitengebied Udenhout Zuid-Oost,Buurt,"","",2.2578947368421098,1.9,0,"",Buitengebied Udenhout Zuid-Oost,5071,1,5.14327529019087,51.5926838584799
51.6108261,5.1439299,BU08556709,Buitengebied Udenhout Zuid-West,Buurt,"","",1.9089887640449399,0.51515151515151514,0,"",Buitengebied Udenhout Zuid-West,5071,1,5.14327529019087,51.5926838584799
51.6108261,5.1439299,BU08556710,Buitengebied Udenhout Noord,Buurt,"","",2.2123809523809501,0.92391304347826086,0,"",Buitengebied Udenhout Noord,5071,1,5.14327529019087,51.5926838584799
